,genres,keywords,tagline,cast,director,title,release_date,index
2199,Comedy,jealousy inventor neighbor best friend milliionaire,"Success didn’t go to his head, it went to his neighbor.",Ben Stiller Jack Black Rachel Weisz Christopher Walken Amy Poehler,Barry Levinson,Envy,2004-04-30,2199
2200,Action Thriller Crime,female nudity prostitute horse race heart strip club,"Stay Charged, Stay Alive!",Jason Statham Amy Smart Dwight Yoakam Efren Ramirez Julanne Chidi Hill,Brian Taylor,Crank: High Voltage,2009-04-16,2200
2201,Action Comedy Thriller,lover (female) talent mafia boss author,,John Cusack Dianne Wiest Jennifer Tilly Chazz Palminteri Mary-Louise Parker,Woody Allen,Bullets Over Broadway,1994-10-14,2201
2202,Drama,based on novel persia queen esther,Feel The Touch Of Destiny,Tiffany Dupont Peter O'Toole Luke Goss John Noble Omar Sharif,Michael O. Sajbel,One Night with the King,2006-10-13,2202
2203,Drama Action Thriller Romance,terror journalist lover (female) saigon indochina,,Michael Caine Brendan Fraser \u0110\u1ed7 Th\u1ecb H\u1ea3i Y\u1ebfn Tzi Ma Rade Serbedzija,Phillip Noyce,The Quiet American,2002-11-22,2203
2204,Comedy Drama,new york chicago midlife crisis television daughter,Dave Spritz is about to take his best shot . . . at life,Nicolas Cage Michael Caine Hope Davis Gemmenne de la Pe\u00f1a Nicholas Hoult,Gore Verbinski,The Weather Man,2005-10-20,2204
2205,Action Adventure Drama Thriller,sport,Two Enemies ... The Mob ... The Ultimate Showdown.,Wesley Snipes Ving Rhames Peter Falk Michael Rooker Jon Seda,Walter Hill,Undisputed,2002-08-23,2205
2206,Comedy Fantasy Romance,dying and death misanthrope lecture cardiopulmonery resuscitation,He sees dead people... and they annoy him.,Ricky Gervais Greg Kinnear T\u00e9a Leoni Billy Campbell Jordan Carlos,David Koepp,Ghost Town,2008-09-19,2206
2207,Action Adventure Drama Thriller,police cops cat and mouse family revenge drama,Survive all 12,John Cena Aidan Gillen Ashley Scott Steve Harris Brian J. White,Renny Harlin,12 Rounds,2009-03-19,2207
2208,Drama Horror Mystery,vampire child vampire remake bully young boy,Innocence dies. Abby doesn't.,Kodi Smit-McPhee Chlo\u00eb Grace Moretz Richard Jenkins Elias Koteas Sasha Barrese,Matt Reeves,Let Me In,2010-10-01,2208
2209,Adventure Action Comedy Family,underdog hero friendship treasure hunt friends,"Colt, Rocky and Tum Tum are back for bigger kicks in an all new adventure",Victor Wong Max Elliott Slade Sean Fox J. Evan Bonifant Caroline Junko King,Charles T. Kanganis,3 Ninjas Kick Back,1994-05-06,2209
2210,Drama Comedy,camcorder videoband delusion nuclear power plant video store,"You name it, we shoot it.",Jack Black Yasiin Bey Danny Glover Mia Farrow Marcus Carl Franklin,Michel Gondry,Be Kind Rewind,2008-01-20,2210
2211,Comedy Drama,world war ii widow musical theatre milieu nacktrevue,,Judi Dench Bob Hoskins Will Young Christopher Guest Kelly Reilly,Stephen Frears,Mrs Henderson Presents,2005-09-09,2211
2212,Action Thriller,heist betrayal dirty cop,The Code on the Street is Never Black & White,Casey Affleck Chiwetel Ejiofor Woody Harrelson Kate Winslet Anthony Mackie,John Hillcoat,Triple 9,2016-02-19,2212
2213,Comedy Drama,new york writer's block insanity independent film author,Harry Block has written a best seller... bout his best friends... he revealed their deepest secrets... and they're not pleased... now Harry Block is going to Hell...,Woody Allen Kirstie Alley Billy Crystal Judy Davis Caroline Aaron,Woody Allen,Deconstructing Harry,1997-08-26,2213
2214,Comedy Romance,gay dance architect artist tango,All's fair in the war of love.,Matthew Perry Neve Campbell Dylan McDermott Oliver Platt Cylk Cozart,Damon Santostefano,Three to Tango,1999-10-22,2214
2215,Drama,london england cook restaurant diva career,Never underestimate a man with everything to lose.,Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman,John Wells,Burnt,2015-10-02,2215
2216,Comedy Crime Drama,prison prisoner independent film,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.,Robert De Niro Sean Penn Demi Moore Hoyt Axton Bruno Kirby,Neil Jordan,We're No Angels,1989-12-15,2216
2217,Music Comedy Romance,paris venice adultery robbery lovesickness,,Drew Barrymore Diva Gray Natasha Lyonne Edward Norton Woody Allen,Woody Allen,Everyone Says I Love You,1996-12-06,2217
2218,Action Crime Drama Thriller,loss of son repayment revenge murder gang,Protect what's yours.,Kevin Bacon Garrett Hedlund Kelly Preston Jordan Garrett John Goodman,James Wan,Death Sentence,2007-08-31,2218
2219,Drama,family relationships doctor retired visit widower,Frank's travelling light but carrying excess baggage.,Robert De Niro Drew Barrymore Kate Beckinsale Sam Rockwell Melissa Leo,Kirk Jones,Everybody's Fine,2009-12-04,2219
2220,Comedy Family,baby baseball scientific study computer genius,Meet the new generation of superheroes.,Jon Voight Scott Baio Vanessa Angel Skyler Shaye Whoopi Goldberg,Bob Clark,Superbabies: Baby Geniuses 2,2004-08-27,2220
2221,Action Comedy Crime,mistake in person false identity arms dealer cop police officer,One guy walks the walk. The other talks and talks.,Samuel L. Jackson Eugene Levy Luke Goss Miguel Ferrer Susie Essman,Les Mayfield,The Man,2005-09-08,2221
2222,Action Comedy Crime,,,Cedric the Entertainer Lucy Liu Nicollette Sheridan Mark Dacascos Callum Keith Rennie,Les Mayfield,Code Name: The Cleaner,2007-01-05,2222
2223,Comedy,gay drag queen mistaken identity,"When you follow your dream, there's no telling what you'll become.",Nia Vardalos Toni Collette David Duchovny Stephen Spinella Alec Mapa,Michael Lembeck,Connie and Carla,2004-04-16,2223
2224,Comedy Drama Music Romance,broken engagement charity celebrity tragic love dancehall girl,Love is what it's all about!,"Shirley MacLaine John McMartin Ricardo Montalban Sammy Davis, Jr. Chita Rivera",Bob Fosse,Sweet Charity,1969-01-01,2224
2225,Comedy Romance Crime Drama Mystery,based on novel 1970s private investigator smoking marijuana los angeles,"Under the paving stones, the beach!",Joaquin Phoenix Josh Brolin Owen Wilson Katherine Waterston Reese Witherspoon,Paul Thomas Anderson,Inherent Vice,2014-12-25,2225
2226,Family,,Things are about to get hairy.,Daniel Tay Jimmy Fallon Jon Stewart Whoopi Goldberg William H. Macy,Frank Passingham,Doogal,2006-02-24,2226
2227,Music Drama,musical 3d,The World is watching,Josh Holloway Josh Peck Chris Brown Laz Alonso Caity Lotz,Benson Lee,Battle of the Year,2013-09-21,2227
2228,Comedy Fantasy,terrorist parody documentary filmmaker sattire,Laugh like you're country depends on it.,Kevin Farley Kelsey Grammer Leslie Nielsen Trace Adkins Robert Davi,David Zucker,An American Carol,2008-10-03,2228
2229,Action Crime Thriller,mexico white house nuclear missile machete outer space,Trained to kill. Left for dead. Back for more.,Danny Trejo Mel Gibson Amber Heard Michelle Rodriguez Sof\u00eda Vergara,Robert Rodriguez,Machete Kills,2013-09-12,2229
2230,Horror,bad boss evil mother revenge humiliation obedience,"When the cat's away, the rats will play.",Crispin Glover R. Lee Ermey Laura Harring Jackie Burroughs Ashlyn Gere,Glen Morgan,Willard,2003-03-14,2230
2231,Comedy,tv show bigfoot,This ain't March of the Penguins.,Steve Zahn Allen Covert Jonah Hill Kevin Heffernan Ashley Scott,Fred Wolf,Strange Wilderness,2008-02-01,2231
2232,Comedy Drama Music,prostitute musical biography telephone call cigar smoking,Gilbert & Sullivan & So Much More,Allan Corduner Jim Broadbent Timothy Spall Dexter Fletcher Shirley Henderson,Mike Leigh,Topsy-Turvy,1999-09-03,2232
2233,Comedy Drama War,japanese world war ii spirituality,Believe the impossible.,Jakob Salvati Emily Watson Cary-Hiroyuki Tagawa Michael Rapaport David Henrie,Alejandro Monteverde,Little Boy,2015-04-23,2233
2234,Drama Thriller,based on novel psychoanalysis sigmund freud biography spanking,Why deny what you desire the most.,Keira Knightley Viggo Mortensen Michael Fassbender Sarah Gadon Vincent Cassel,David Cronenberg,A Dangerous Method,2011-09-30,2234
2235,Animation Science Fiction Thriller,california detective based on novel dream undercover,Everything Is Not Going To Be OK,Keanu Reeves Winona Ryder Woody Harrelson Robert Downey Jr. Mitch Baker,Richard Linklater,A Scanner Darkly,2006-05-25,2235
2236,Drama,wave surfing sport mentor prot\u00e9g\u00e9 relationship santa cruz california,Legends Start Somewhere,Gerard Butler Jonny Weston Elisabeth Shue Abigail Spencer Leven Rambin,Curtis Hanson,Chasing Mavericks,2012-10-25,2236
2237,Action Fantasy Horror Thriller,detective monster professor island museum,Can mankind defeat the army of darkness unleashed by an ancient evil cult?,Christian Slater Tara Reid Stephen Dorff Frank C. Turner Matthew Walker,Uwe Boll,Alone in the Dark,2005-01-28,2237
2238,Comedy Drama Family Music,new jersey musical battle of the bands teenager rock band,Band Together,Vanessa Hudgens Aly Michalka Gaelan Connell Lisa Kudrow Scott Porter,Todd Graff,Bandslam,2009-08-06,2238
2239,Drama Mystery Thriller,loss of husband reincarnation friends little boy independent film,Be careful what you wish for.,Nicole Kidman Cameron Bright Danny Huston Lauren Bacall Alison Elliott,Jonathan Glazer,Birth,2004-09-08,2239
2240,Crime Drama Thriller,corruption capitalism winter american dream immigrant,The result is never in question. Just the path you take to get there.,Oscar Isaac Jessica Chastain Albert Brooks Elyes Gabel David Oyelowo,J.C. Chandor,A Most Violent Year,2014-12-30,2240
2241,Drama Romance War History,nurse battle platoon veteran recruitment,,Paul Gross Caroline Dhavernas Joe Dinicol Meredith Bailey Adam Harrington,Paul Gross,Passchendaele,2008-10-17,2241
2242,Drama,biography,"Corporations have time, money, and power on their side. All Bob Kearns had was the truth.",Aaron Abrams Alan Alda Lauren Graham Greg Kinnear Tatiana Maslany,Marc Abraham,Flash of Genius,2008-09-07,2242
2243,Drama Music,rock and roll music style success john f. kennedy advancement,All I Can Do Is Be Me Whoever That Is,Cate Blanchett Heath Ledger Julianne Moore Ben Whishaw Charlotte Gainsbourg,Todd Haynes,I'm Not There.,2007-10-01,2243
2244,Action Thriller,kidnapping spying government,Be careful who you trust.,Henry Cavill Ver\u00f3nica Echegui Sigourney Weaver Bruce Willis Caroline Goodall,Mabrouk El Mechri,The Cold Light of Day,2012-04-04,2244
2245,Adventure Comedy Drama Romance,con man estafa,They'd never let the truth come between them.,Rachel Weisz Adrien Brody Mark Ruffalo Rinko Kikuchi Robbie Coltrane,Rian Johnson,The Brothers Bloom,2008-09-09,2245
2246,Drama,new york man-woman relation writer,,Philip Seymour Hoffman Samantha Morton Jennifer Jason Leigh Michelle Williams Catherine Keener,Charlie Kaufman,"Synecdoche, New York",2008-10-24,2246
2247,Adventure Fantasy Animation,fight wolf village and town iron pan,The Fate Of The World Rests On The Courage Of One Warrior.,Y\u014dji Matsuda Yuriko Ishida Y\u016bko Tanaka Kaoru Kobayashi Masahiko Nishimura,Hayao Miyazaki,Princess Mononoke,1997-07-12,2247
2248,Comedy Drama Foreign,,,Gr\u00e9gori Derang\u00e8re G\u00e9rard Depardieu Isabelle Adjani Virginie Ledoyen Yvan Attal,Jean-Paul Rappeneau,Bon voyage,2003-04-16,2248
2249,Comedy Music,camp disco woman director village people,The Musical Comedy Smash of the 80's!,Alex Briley David Hodo Glenn Hughes Randy Jones Felipe Rose,Nancy Walker,Can't Stop the Music,1980-06-20,2249
2250,Action Adventure Crime Drama Thriller,gallows australia psychopath outlaw misanthrope,This land will be civilized.,Guy Pearce Ray Winstone Emily Watson Danny Huston David Wenham,John Hillcoat,The Proposition,2005-10-06,2250
2251,Drama,american football biography sport championship,Hope never quits,Aaron Eckhart Finn Wittrock Robin Tunney Sarah Bolger Michael Reilly Burke,Angelo Pizzo,My All American,2015-11-13,2251
2252,Comedy,,Uptown Gets Down.,Lisa Kudrow Damon Wayans Richard Benjamin Jane Krakowski Christine Baranski,Richard Benjamin,Marci X,2003-08-22,2252
2253,Action Science Fiction Thriller,resistance fascism totalitarian regime destroy phasing,"In a future where freedom is outlawed, outlaws will become heroes.",Christian Bale Taye Diggs Emily Watson Angus Macfadyen Sean Bean,Kurt Wimmer,Equilibrium,2002-12-06,2253
2254,Drama War,based on true story duringcreditsstinger,"War made them orphans, one man made them legends",Jonathan Rhys Meyers Radha Mitchell Chow Yun-fat Michelle Yeoh,Roger Spottiswoode,The Children of Huang Shi,2008-07-03,2254
2255,Drama Action Thriller Crime,corruption subway infiltration criminal,He's the target of the most merciless family in New York. His own.,Mark Wahlberg Joaquin Phoenix Charlize Theron James Caan Ellen Burstyn,James Gray,The Yards,2000-04-27,2255
2256,Family,,,Christopher Lloyd Cary Elwes Jaime Pressly Cloris Leachman Chazz Palminteri,Matthew Diamond,The Oogieloves in the Big Balloon Adventure,2012-08-29,2256
2257,Drama Romance,france hotel 1970s grief travel,,Angelina Jolie Brad Pitt M\u00e9lanie Laurent Melvil Poupaud Niels Arestrup,Angelina Jolie,By the Sea,2015-11-12,2257
2258,Animation Fantasy Science Fiction,england inventor ball boy industrial revolution,He will save the future.,Anne Suzuki Masane Tsukayama Katsuo Nakamura Manami Konishi Kiyoshi Kodama,Katsuhiro \u014ctomo,Steamboy,2004-07-17,2258
2259,Drama,sport,,Gerard Butler Wes Bentley Gavin Rossdale Costas Mandylor Louis Mandylor,David Anspaugh,The Game of Their Lives,2005-01-01,2259
2260,Drama Mystery Thriller Crime Romance,difficult childhood patriarch childhood trauma dysfunctional marriage,The perfect love story. Until it became the perfect crime.,Kirsten Dunst Ryan Gosling Kristen Wiig Frank Langella Lily Rabe,Andrew Jarecki,All Good Things,2010-12-03,2260
2261,Adventure,in love with enemy indigenous island,,Jason Scott Lee Esai Morales Sandrine Holt Eru Potaka-Dewes Emilio Tuki Hito,Kevin Reynolds,Rapa Nui,1994-09-09,2261
2262,Comedy Drama Family Fantasy Science Fiction,little boy ufo extraterrestrial,It's out of this world.,Stephen Chow Xu Jiao Kitty Zhang Yuqi Lam Tze-Chung Lee Sheung-Ching,Stephen Chow,CJ7,2008-01-30,2262
2263,Comedy Fantasy,mephisto french revolution time travel leap in time knight,They come back!,Christian Clavier Jean Reno Marie-Anne Chazel Christian Bujeau Muriel Robin,Jean-Marie Poir\u00e9,The Visitors II: The Corridors of Time,1998-02-11,2263
2264,Action Comedy Horror Mystery Science Fiction,detective vampire supernatural zombie werewolf,No pulse? No problem,Brandon Routh Peter Stormare Sam Huntington Taye Diggs Anita Briem,Kevin Munroe,Dylan Dog: Dead of Night,2011-03-16,2264
2265,Drama Thriller,drug addiction press release from prison women's prison party,,Al Pacino Kim Basinger Ryan O'Neal T\u00e9a Leoni Jonathan Walker,Daniel Algrant,People I Know,2002-11-21,2265
2266,Drama Fantasy,shakespeare sword island frog sorcery,,Helen Mirren Felicity Jones Reeve Carney David Strathairn Tom Conti,Julie Taymor,The Tempest,2010-12-10,2266
2267,Horror Mystery Thriller,investigation memory loss,Fear always finds its victim,Ethan Hawke Emma Watson David Thewlis Lothaire Bluteau Dale Dickey,Alejandro Amen\u00e1bar,Regression,2015-10-01,2267
2268,Action History Drama,warrior woman number in title,,Sammo Hung Vanness Wu Maggie Q Andy Lau Ti Lung,Daniel Lee,Three Kingdoms: Resurrection of the Dragon,2008-04-03,2268
2269,Crime Drama Thriller,chicago infidelity man-woman relation revenge,Lives will be broken,Pierce Brosnan Maria Bello Gerard Butler Emma Karwandy Claudette Mink,Mike Barker,Butterfly on a Wheel,2007-07-27,2269
2270,Comedy Animation Adventure Family,falcon bird origin,Airborne to be wild.,Jeremy Suarez Samuel L. Jackson Abigail Breslin Leonard Nimoy Jeff Goldblum,Wayne Thornley,Zambezia,2012-06-05,2270
2271,Drama History,mathematician biography prodigy ramanujam math genius,,Abhinay Vaddi Suhasini Maniratnam Kevin McGowan Abbas Anmol,Gnana Rajasekaran,Ramanujan,2014-07-11,2271
2272,Animation,,,Melissa Leo Maggie Wheeler Joey D. Vieira R. Martin Klein Thomas Francis Walsh III,Tom Walsh,Dwegons,2014-01-24,2272
